Stage,Round,Date,Team 1,FT,Team 2
Regular Season,18,Wed Dec 23 2020,Royal Antwerp FC,,SV Zulte Waregem
Regular Season,18,Wed Dec 23 2020,KAA Gent,,Waasland-Beveren
Regular Season,18,Wed Dec 23 2020,KAS Eupen,,KRC Genk
Regular Season,18,Wed Dec 23 2020,KV Kortrijk,,Standard Liège
Regular Season,18,Wed Dec 23 2020,Royal Excel Mouscron,,Oud-Heverlee Leuven
Regular Season,18,Wed Dec 23 2020,RSC Anderlecht,,KV Oostende
Regular Season,18,Wed Dec 23 2020,Sint-Truidense VV,,K. Beerschot VA
Regular Season,18,Wed Dec 23 2020,Cercle Brugge,,Sporting Charleroi
Regular Season,19,Sat Dec 26 2020,KV Mechelen,,Royal Excel Mouscron
Regular Season,19,Sat Dec 26 2020,Royal Antwerp FC,,Sporting Charleroi
Regular Season,19,Sat Dec 26 2020,Club Brugge,,KAS Eupen
Regular Season,19,Sat Dec 26 2020,KRC Genk,,Waasland-Beveren
Regular Season,19,Sat Dec 26 2020,Oud-Heverlee Leuven,,KV Oostende
Regular Season,19,Sat Dec 26 2020,RSC Anderlecht,,K. Beerschot VA
Regular Season,19,Sat Dec 26 2020,Standard Liège,,Sint-Truidense VV
Regular Season,19,Sat Dec 26 2020,SV Zulte Waregem,,Cercle Brugge
Regular Season,19,Sat Dec 26 2020,KV Kortrijk,,KAA Gent
Regular Season,20,Sat Jan 16 2021,K. Beerschot VA,,Club Brugge
Regular Season,20,Sat Jan 16 2021,Cercle Brugge,,Standard Liège
Regular Season,20,Sat Jan 16 2021,KAA Gent,,Royal Antwerp FC
Regular Season,20,Sat Jan 16 2021,KAS Eupen,,RSC Anderlecht
Regular Season,20,Sat Jan 16 2021,Waasland-Beveren,,SV Zulte Waregem
Regular Season,20,Sat Jan 16 2021,Royal Excel Mouscron,,KRC Genk
Regular Season,20,Sat Jan 16 2021,Sporting Charleroi,,KV Mechelen
Regular Season,20,Sat Jan 16 2021,Sint-Truidense VV,,Oud-Heverlee Leuven
Regular Season,20,Sat Jan 16 2021,KV Oostende,,KV Kortrijk
Regular Season,21,Sat Jan 23 2021,Royal Antwerp FC,,KV Oostende
Regular Season,21,Sat Jan 23 2021,Club Brugge,,KRC Genk
Regular Season,21,Sat Jan 23 2021,KV Kortrijk,,Cercle Brugge
Regular Season,21,Sat Jan 23 2021,KV Mechelen,,KAS Eupen
Regular Season,21,Sat Jan 23 2021,Sint-Truidense VV,,Royal Excel Mouscron
Regular Season,21,Sat Jan 23 2021,RSC Anderlecht,,Waasland-Beveren
Regular Season,21,Sat Jan 23 2021,Standard Liège,,Sporting Charleroi
Regular Season,21,Sat Jan 23 2021,SV Zulte Waregem,,K. Beerschot VA
